Region Code,Region,Name,Type,Address,CAP,City,State,ID,Longitude,Latitude
90,Toscana,Ausl Pisa,Ausl,Via Zamenhof 1,56100,Pisa,Italy,PDW559,10.4198343,43.7106899
90,Toscana,Ausl Pistoia,Ausl,Viale Matteotti 35,51100,Pistoia,Italy,ZMP466,10.9183214,43.9350393
90,Toscana,Ausl Pistoia,Ausl,Via S. Pertini 708,51100,Pistoia,Italy,KBG458,10.9183214,43.9350393
90,Toscana,Asl Prato,Asl,Viale Della Repubblica 240,50047,Prato,Italy,GWF227,11.0914171,43.879728
90,Toscana,Asl Prato,Asl,Piazza Ospedale 5,59100,Prato,Italy,QWT528,11.0914171,43.879728
120,Lazio,Asl Rieti,Asl,Viale  Matteucci 9,2100,Rieti,Italy,HXB783,12.8810647,42.4127728
120,Lazio,Asl Roma Rm/A,Asl,Via Ariosto 3/9,185,Roma,Italy,TJG954,12.4185808,41.940283
120,Lazio,Asl Roma Rm/B,Asl,Via Filippo Meda 35,157,Roma,Italy,BJU261,12.5511751,41.8596871
120,Lazio,Asl Roma Rm/C,Asl,Viale Dell'Arte 68,144,Roma,Italy,CMV742,12.5129239,41.8348178
120,Lazio,Asl Roma Rm/C,Asl,Via Primo Carnera 1,142,Roma,Italy,OJB720,12.5129239,41.8348178
120,Lazio,Asl Roma Rm/D,Asl,Via Casal Bernocchi 73,125,Roma,Italy,AEL416,12.4597195,41.8811463
120,Lazio,Asl Roma Rm/E,Asl,B.Go S. Spirito 3,193,Roma,Italy,LMC325,12.4614774,41.9014422
120,Lazio,Asl Roma Rm/F,Asl,Via Delle Terme Di Traiano 39/A,53,Civitavecchia,Italy,QXU953,12.4185808,41.940283
120,Lazio,Asl Roma Rm/G,Asl,Via Tiburtina 22/A,19,Tivoli,Italy,UNP598,12.4185808,41.940283
120,Lazio,Asl Roma Rm/H,Asl,B.Go Garibaldi 12,41,Albano Laziale,Italy,ESR189,12.4185808,41.940283
120,Lazio,Asl Roma 1,Asl,Borgo Santo Spirito 3,193,Roma,Italy,XRQ434,12.4614774,41.9014422
120,Lazio,Asl Roma 2,Asl,Via Filippo Meda 35,157,Roma,Italy,BBI770,12.5149542,41.88574149999999
120,Lazio,Asl Roma 3,Asl,Via Casal Bernocchi 73,125,Roma,Italy,CKD949,12.3807777,41.7842506
120,Lazio,Asl Roma 4,Asl,Via Delle Terme Di Traiano 39/A,53,Civitavecchia,Italy,IRW724,11.7982248,42.0943266
120,Lazio,Asl Roma 5,Asl,Via Tiburtina 22/A,19,Tivoli,Italy,QLC185,12.8024679,41.9593325
120,Lazio,Asl Roma 6,Asl,B.Go Garibaldi 12,41,Albano Laziale,Italy,INL605,12.6606928,41.7266398
50,Veneto,Aulss Rovigo,Aulss,V.Le Tre Martiri 89,45100,Rovigo,Italy,ICP640,11.8102568,45.0760602
50,Veneto,Aulss S. Dona' Di Piave,Aulss,P.Zza De Gasperi  5,30027,San Dona' Di Piave,Italy,MDK337,12.5729068,45.629925
50,Veneto,Aulss S. Dona' Di Piave,Aulss,P.Zza De Gasperi 5,30027,San Dona' Di Piave,Italy,MIX554,12.5729068,45.629925
200,Sardegna,Assl Sanluri,Assl,Via Ungaretti Sn,9036,Sanluri,Italy,LIL640,8.9057984,39.5585372
200,Sardegna,Assl Sanluri,Assl,Via Ungaretti Snc,9036,Sanluri,Italy,YRG124,8.9057984,39.5585372
200,Sardegna,Asl Sassari,Asl,Via Zanfarino 44,7100,Sassari,Italy,TWD641,8.5540634,40.7195993
200,Sardegna,Asl Sassari,Asl,Via Catalocchino 8,7100,Sassari,Italy,AVU400,8.5540634,40.7195993
70,Liguria,Asl Savonese,Asl,Via Paleocapa 22,17100,Savona,Italy,KMD288,8.481980499999999,44.3064778
70,Liguria,Asl Savonese,Asl,Via Manzoni 14,17100,Savona,Italy,MWP304,8.481980499999999,44.3064778
90,Toscana,Ausl Siena,Ausl,Via Roma 75/76,53100,Siena,Italy,VJM766,11.3220335,43.3309437
70,Liguria,Asl Spezzino,Asl,Via Xxiv Maggio 139,19124,La Spezia,Italy,GDI330,9.821826999999999,44.103195
130,Abruzzo,Asl Teramo,Asl,Teramo  Circ.Ne Ragusa 1,64100,Teramo,Italy,LBK363,13.701071,42.6622572
130,Abruzzo,Asl Teramo,Asl,Circ.Ne Ragusa 1,64100,Teramo,Italy,JUU895,13.701071,42.6622572
100,Umbria,Usl Terni,Usl,Via Bramante 37,5100,Terni,Italy,IRG482,12.6349947,42.5708852
50,Veneto,Aulss Thiene,Aulss,Via Rasa  9,36016,Thiene,Italy,ZFG782,11.4142636,45.7272738
10,Piemonte,Asl To1,Asl,Via S.Secondo 29,10128,Torino,Italy,URE898,7.670988100000001,45.0389343
10,Piemonte,Asl To2,Asl,Corso Svizzera 164,10149,Torino,Italy,ATJ802,7.6894869,45.0775349
10,Piemonte,Asl To3,Asl,Via Martiri Xxx Aprile 30,10093,Collegno,Italy,CLN139,7.5752691,45.0831404
10,Piemonte,Asl To4,Asl,Via Po 11,10034,Chivasso,Italy,OHD906,7.8900764,45.18700560000001
10,Piemonte,Asl To5,Asl,Via San Domenico 21,10023,Chieri,Italy,PNQ613,7.693742500000001,44.9976108
42,Prov. Auton. Trento,Apss Trento,Apss,"Via De Gasperi, 79",38100,Trento,Italy,ZVV449,11.1304231,46.0430263
42,Prov. Auton. Trento,Apss Trento,Apss,Via De Gasperi 79,38100,Trento,Italy,AFQ215,11.1304231,46.0430263
50,Veneto,Aulss Treviso,Aulss,Borgo Cavalli  42,31100,Treviso,Italy,LUL292,12.2602365,45.659399
50,Veneto,Aulss Treviso,Aulss,Borgo Cavalli 42,31100,Treviso,Italy,OEZ787,12.2602365,45.659399
60,Friuli Venezia Giulia,Asu Triestina,Asu,Via Del Farneto 3,34142,Trieste,Italy,VAV932,13.6392236,45.7735083
60,Friuli Venezia Giulia,Asu Triestina,Asu,Via Sai 1,34128,Trieste,Italy,PRD739,13.6392236,45.7735083
60,Friuli Venezia Giulia,Asu Triestina,Asu,Via Giovanni Sai 1-3,34128,Trieste,Italy,YLX492,13.6392236,45.7735083
60,Friuli Venezia Giulia,Asu Triestina,Asu,Via Giovanni Sai 1-3,34128,Trieste,Italy,PAF532,13.6392236,45.7735083
100,Umbria,Usl 2 - Perugia,Usl,Via Guerra 17/21,6127,Perugia,Italy,SWD766,12.3637121,43.1300184
10,Piemonte,Asl Vercelli,Asl,C.So Mario Abbiate 21,13100,Vercelli,Italy,XWY315,8.407784,45.3236388
10,Piemonte,Asl Vco,Asl,Via Mazzini 117,28887,Omegna,Italy,SEQ979,8.5642291,45.9292342
50,Veneto,Aulss Veneziana,Aulss,Via Don Tosatto 147,30174,Venezia,Italy,AUY200,12.35677,45.43166
50,Veneto,Aulss Veneziana,Aulss,Via Don Federico Tosatto 147,30174,Venezia,Italy,AFT468,12.35677,45.43166
50,Veneto,Aulss Verona,Aulss,Via Valverde  42,37122,Verona,Italy,JRX379,10.9868569,45.43520880000001
50,Veneto,Aulss Verona,Aulss,Via Valverde 42,37122,Verona,Italy,LGI667,10.9868569,45.43520880000001
90,Toscana,Usl Versilia,Usl,Via Vetraia 5,55049,Viareggio,Italy,ZTH890,10.159265,44.0153802
90,Toscana,Usl Versilia,Usl,Via Aurelia 335,55043,Camaiore,Italy,GWP648,10.159265,44.0153802
50,Veneto,Ulss Vicenza,Ulss,V.Le Rodolfi 37,36100,Vicenza,Italy,HBM301,11.5509008,45.5558671
120,Lazio,Asl Viterbo,Asl,Via Enrico Fermi 15,1100,Viterbo,Italy,PEW367,12.1220663,42.3950363
